Condition	Block	Frequency	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7
11	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
12	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
13	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
14	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
15	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
16	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
17	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
18	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
19	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
20	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
21	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
22	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
23	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
24	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
25	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
26	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
27	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
28	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
29	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
30	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
31	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
32	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
33	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
34	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
35	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
36	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
37	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
38	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
39	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
40	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
41	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
42	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
43	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
44	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
45	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
46	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
47	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
48	2	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
49	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
50	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
51	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
52	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
53	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
54	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
55	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
56	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
57	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
58	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
59	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
60	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
61	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
62	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
63	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
64	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
65	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
66	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
67	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
68	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
69	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
70	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
71	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
72	3	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
73	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
74	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
75	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
76	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
77	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
78	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
79	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
80	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
81	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
82	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
83	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
84	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
85	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
86	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
87	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
88	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
89	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
90	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
91	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
92	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
93	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
94	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
95	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
96	4	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
97	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
98	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
99	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
100	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
101	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
