Condition	Block	Frequency	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7
3	1	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	1	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	1	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	1	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	1	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	1	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	1	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	1	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	1	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
3	1	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	1	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	1	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')

1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
3	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
3	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
3	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
3	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	2	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')

1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
3	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
3	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
3	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
3	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	3	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')

1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
3	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
3	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
3	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
3	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	4	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')

1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
3	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
3	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
3	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
3	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
1	5	1	uhrig_local_global_task	fix(0,0)	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('high_50ms.wav')	snd('low_50ms.wav')
