Condition	Block	Frequency	Timing File	Info	TaskObject#1	TaskObject#2	TaskObject#3
11	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.67,'n_beeps',7,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',11	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0011.wav')
12	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.13,'n_beeps',5,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',12	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0012.wav')
13	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.94,'n_beeps',8,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',13	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0013.wav')
14	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.4,'n_beeps',6,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',14	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0014.wav')
15	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.4,'n_beeps',6,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',15	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0015.wav')
16	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.67,'n_beeps',7,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',16	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0016.wav')
17	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.13,'n_beeps',5,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',17	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0017.wav')
18	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',0.86,'n_beeps',4,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',18	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0018.wav')
19	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.67,'n_beeps',7,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',19	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0019.wav')
20	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',0.86,'n_beeps',4,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',20	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0020.wav')
21	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.67,'n_beeps',7,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',21	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0021.wav')
22	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.94,'n_beeps',8,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',22	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0022.wav')
23	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',0.86,'n_beeps',4,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',23	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0023.wav')
24	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',0.86,'n_beeps',4,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',24	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0024.wav')
25	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.13,'n_beeps',5,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',25	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0025.wav')
26	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',0.86,'n_beeps',4,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',26	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0026.wav')
27	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',2.21,'n_beeps',9,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',27	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0027.wav')
28	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.13,'n_beeps',5,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',28	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0028.wav')
29	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',2.48,'n_beeps',10,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',29	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0029.wav')
30	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',2.21,'n_beeps',9,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',30	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0030.wav')
31	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',0.86,'n_beeps',4,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',31	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0031.wav')
32	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.67,'n_beeps',7,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',32	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0032.wav')
33	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',2.48,'n_beeps',10,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',33	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0033.wav')
34	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.67,'n_beeps',7,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',34	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0034.wav')
35	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.4,'n_beeps',6,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',35	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0035.wav')
36	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.67,'n_beeps',7,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',36	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0036.wav')
37	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.67,'n_beeps',7,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',37	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0037.wav')
38	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.94,'n_beeps',8,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',38	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0038.wav')
39	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',0.86,'n_beeps',4,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',39	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0039.wav')
40	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.4,'n_beeps',6,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',40	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0040.wav')
41	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',2.21,'n_beeps',9,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',41	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0041.wav')
42	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',0.86,'n_beeps',4,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',42	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0042.wav')
43	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',0.86,'n_beeps',4,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',43	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0043.wav')
44	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.94,'n_beeps',8,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',44	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0044.wav')
45	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.67,'n_beeps',7,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',45	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0045.wav')
46	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',0.86,'n_beeps',4,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',46	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0046.wav')
47	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.67,'n_beeps',7,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',47	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0047.wav')
48	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.67,'n_beeps',7,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',48	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0048.wav')
49	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',0.86,'n_beeps',4,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',49	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0049.wav')
50	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',3.02,'n_beeps',12,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',50	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0050.wav')
51	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',2.48,'n_beeps',10,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',51	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0051.wav')
52	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.13,'n_beeps',5,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',52	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0052.wav')
53	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',2.21,'n_beeps',9,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',53	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0053.wav')
54	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.94,'n_beeps',8,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',54	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0054.wav')
55	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.94,'n_beeps',8,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',55	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0055.wav')
56	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.67,'n_beeps',7,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',56	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0056.wav')
57	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.4,'n_beeps',6,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',57	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0057.wav')
58	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',0.86,'n_beeps',4,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',58	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0058.wav')
59	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.13,'n_beeps',5,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',59	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0059.wav')
60	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.67,'n_beeps',7,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',60	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0060.wav')
61	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',4.35,'n_beeps',11,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',61	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0061.wav')
62	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',4.78,'n_beeps',12,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',62	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0062.wav')
63	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',5.64,'n_beeps',14,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',63	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0063.wav')
64	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',3.49,'n_beeps',9,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',64	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0064.wav')
65	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',4.78,'n_beeps',12,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',65	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0065.wav')
66	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',4.78,'n_beeps',12,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',66	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0066.wav')
67	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',4.35,'n_beeps',11,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',67	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0067.wav')
68	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',3.06,'n_beeps',8,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',68	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0068.wav')
69	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',5.64,'n_beeps',14,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',69	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0069.wav')
70	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',3.49,'n_beeps',9,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',70	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0070.wav')
71	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',2.63,'n_beeps',7,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',71	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0071.wav')
72	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',6.5,'n_beeps',16,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',72	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0072.wav')
73	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',1.77,'n_beeps',5,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',73	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0073.wav')
74	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',4.78,'n_beeps',12,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',74	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0074.wav')
75	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',2.2,'n_beeps',6,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',75	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0075.wav')
76	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',6.07,'n_beeps',15,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',76	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0076.wav')
77	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',7.36,'n_beeps',18,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',77	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0077.wav')
78	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',4.35,'n_beeps',11,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',78	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0078.wav')
79	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',3.92,'n_beeps',10,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',79	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0079.wav')
80	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',6.93,'n_beeps',17,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',80	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0080.wav')
81	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',5.21,'n_beeps',13,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',81	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0081.wav')
